,Time [s],Vitesse [m/s],Couple pédale [Nm],I [A]
0,0.0,2.0,12.156987190246577,5.745566964149474
1,0.01,2.0000071730184987,12.744113377162389,5.760673642158509
2,0.02,2.0001025358631983,13.193093027387347,5.02296507358551
3,0.03,2.0000512443462997,13.227629661560059,5.639820694923401
4,0.04,2.000181142088562,13.676609311785018,6.531113266944886
5,0.05,2.0006298069662027,14.332808767046249,6.047700047492981
6,0.06,2.0010340004179925,15.437991278512138,5.896633267402649
7,0.07,2.001552828535655,15.956044197082521,5.647373795509339
8,0.08,2.0020743360436897,16.508633749825613,5.959577679634094
9,0.09,2.0027638742745433,16.543170383998326,6.954099774360657
10,0.1,2.003742347722008,16.577707018171036,7.628864407539368
11,0.11,2.004918335196667,17.13029657091413,6.697286248207092
12,0.12,2.0059068468503067,16.370487213134766,6.785408616065979
13,0.13,2.0068117803054406,16.508633749825613,7.452619671821595
14,0.14,2.007926886796006,16.508633749825613,6.516006112098694
15,0.15,2.0087741504609737,16.577707018171036,7.05984604358673
16,0.16,2.0097864830167738,16.059654099600653,7.163076043128967
17,0.17,2.0107540853699564,15.403454644339424,7.147968888282775
18,0.18,2.0116234212704986,15.437991278512138,7.03970444202423
19,0.19,2.0124665719907275,14.332808767046249,7.13034451007843
20,0.2,2.0131775559821796,14.332808767046249,5.571840405464172
21,0.21,2.0134431007328866,13.193093027387347,6.392635464668274
22,0.22,2.0137802849209683,12.191523824419301,7.132862210273743
23,0.23,2.014185808896473,11.569857597351074,6.153447270393372
24,0.24,2.014222603673007,11.017268044607988,6.062806725502014
25,0.25,2.0141545519017283,9.87755230494908,6.296960473060608
26,0.26,2.013990599249466,9.843015670776367,5.841242432594299
27,0.27,2.0136915427706144,9.25588607788086,5.194173932075501
28,0.28,2.013123798004732,8.737833159310478,5.692693829536438
29,0.29,2.0126246015950637,7.667190687997,5.826135277748108
30,0.3,2.012010689359642,7.183674403599337,5.722907185554504
31,0.31,2.011298341181301,6.596548216683524,6.198766350746155
32,0.32,2.0106382302409225,6.043956960950579,4.813989758491516
33,0.33,2.0095036686899967,5.49136570521763,5.0808738470077515
34,0.34,2.0083666612481603,5.456829071044922,5.722907185554504
35,0.35000000000000003,2.0074084017426213,5.525902339390349,5.448468804359436
36,0.36,2.006381804222113,5.8021988187517435,5.347758412361144
37,0.37,2.005366123214697,6.527471542358398,4.89707624912262
38,0.38,2.004325503909944,6.56200817653111,5.236975789070129
39,0.39,2.0033871555541944,7.149137769426618,5.02296507358551
40,0.4,2.0024717380105104,7.1146011352539,4.690618395805359
41,0.41000000000000003,2.0014566266291953,7.045527866908482,4.967573761940002
42,0.42,2.000510995266594,7.149137769426618,5.0859092473983765
43,0.43,1.9996141780926324,7.667190687997,4.481643080711365
44,0.44,1.998618913177379,8.945056370326451,4.166920781135559
45,0.45,1.9977164931164901,9.394036020551416,3.547547459602357
46,0.46,1.9967014425752083,8.77236979348319,3.557618737220764
47,0.47000000000000003,1.995600677591638,8.737833159310478,4.552141070365906
48,0.48,1.994779363919438,9.324962752205986,4.929807066917419
49,0.49,1.9941500064695963,10.810048239571708,4.0234073400497445
50,0.5,1.9934739676011553,12.087913921901166,4.610049605369568
51,0.51,1.9931482379143246,12.709576742989677,5.043107151985169
52,0.52,1.9930351177287582,12.053373881748746,4.378414273262024
53,0.53,1.992638366266276,12.087913921901166,5.347758412361144
54,0.54,1.992523589581729,11.569857597351074,5.7808157205581665
55,0.55,1.9924585601053064,10.568288394383023,6.06784212589264
56,0.56,1.9923324707934431,11.017268044607988,5.614642262458801
57,0.5700000000000001,1.9921410627754834,11.017268044607988,5.5164490938186646
58,0.58,1.9919216405824876,10.982731410435262,4.869380593299866
59,0.59,1.9915124548892171,11.535320963178362,5.196691632270812
60,0.6,1.9912758156829788,11.535320963178362,4.95498526096344
61,0.61,1.9909701682219112,10.568288394383023,4.864345192909241
62,0.62,1.990500541584599,9.635792459760394,5.153889298439026
63,0.63,1.9899805287639145,9.394036020551416,5.309991478919983
64,0.64,1.9894706913633704,7.736263956342424,5.282296299934387
65,0.65,1.988716225724815,7.183674403599337,4.469054102897645
66,0.66,1.9876506254793511,6.596548216683524,4.625155806541443
67,0.67,1.986545978893993,5.456829071044922,4.939878344535828
68,0.68,1.9853686727229531,4.351648262568882,4.647816061973572
69,0.6900000000000001,1.9839502894927215,3.281005791255406,4.662922978401184
70,0.7000000000000001,1.9823835775391165,2.4175831249782016,4.101458668708801
71,0.71,1.9805334368401213,1.6577720642089844,3.784218668937683
72,0.72,1.9784845081626599,1.6577720642089844,4.411145329475403
73,0.73,1.9766151404443544,1.6232337270464217,5.060731291770935
74,0.74,1.9749268352459068,2.1412883486066545,4.088869690895081
75,0.75,1.9730352248871175,2.6938779013497487,4.033478617668152
76,0.76,1.9712071352171605,3.246469157082694,4.010818600654602
77,0.77,1.969451904598091,4.317111628396167,3.6432234048843384
78,0.78,1.96774497182555,4.904239518301824,3.842127442359925
79,0.79,1.9661791099621542,4.904239518301824,3.670918822288513
80,0.8,1.9645646668919945,4.869702884129115,3.731345057487488
81,0.81,1.9629629006076676,5.422292436872213,3.6155277490615845
82,0.8200000000000001,1.9614073282641005,4.869702884129115,3.6633652448654175
83,0.8300000000000001,1.9597868157487304,4.351648262568882,3.0565810203552246
84,0.84,1.9579192757616737,4.386186599731449,3.104418992996216
85,0.85,1.9560707380021063,4.386186599731449,3.064134359359741
86,0.86,1.9542110864624482,3.799058709825788,3.8950010538101196
87,0.87,1.9525053484908337,4.248038360050749,3.3939632177352914
88,0.88,1.950720962317081,3.799058709825788,3.02888560295105
89,0.89,1.9487685106718236,3.7645220756530726,3.3461254835128784
90,0.9,1.9469021835700546,3.833595343998497,2.8551589250564575
91,0.91,1.9449058478457264,4.386186599731449,2.5253301858901978
92,0.92,1.9428946447329678,4.904239518301824,2.850123405456543
93,0.93,1.9410506782148338,4.904239518301824,2.5530258417129517
94,0.9400000000000001,1.9391222218141697,5.49136570521763,2.3591569662094116
95,0.9500000000000001,1.9372226627164357,6.631084850856236,2.0343637466430664
96,0.96,1.935393529625152,7.045527866908482,2.210608005523682
97,0.97,1.933674350138647,7.701727322169712,1.7951748967170718
98,0.98,1.9319305866531244,7.632654053824296,1.8807793855667116
99,0.99,1.9302017876468278,7.839873858860561,2.1552170515060425
100,1.0,1.928581372688449,8.150706972394671,2.0016326308250427
101,1.01,1.9269618284293002,9.290422712053573,2.1401103734970093
102,1.02,1.9255450128189215,10.464678491864886,1.3772239834070208
103,1.03,1.9240782840975497,10.84458487374442,1.6013061404228213
104,1.04,1.922730165488891,10.982731410435262,1.9487593173980715
105,1.05,1.9215013433185975,12.12245055607387,2.3818169832229614
106,1.06,1.92055933224981,12.571430206298828,3.2907341718673715
107,1.07,1.9199413536158965,13.158556393214635,3.9982298612594613
108,1.08,1.9196095242010758,13.193093027387347,5.098497986793518
109,1.09,1.9195970620190212,13.262166295732772,6.178624272346497
110,1.1,1.919903077627356,13.40031283242362,5.992309212684631
111,1.11,1.9201755300062557,14.36734540121896,7.475279450416565
112,1.12,1.9210097772945398,14.954474994114468,6.750159859657288
113,1.1300000000000001,1.9217205444457446,15.437991278512138,5.410702347755433
114,1.1400000000000001,1.922117530898359,14.850865091596331,6.168553471565247
115,1.1500000000000001,1.9226470860054055,14.88540172576905,6.196248650550842
116,1.16,1.923189374349521,15.437991278512138,5.632267117500305
117,1.17,1.9236493502727974,14.954474994114468,6.234015583992004
118,1.18,1.9242120820081738,14.332808767046249,6.893673062324524
119,1.19,1.9248743572624065,13.227629661560059,6.7123929262161255
120,1.2,1.9253268135465558,12.675040108816965,6.110644459724426
121,1.21,1.925528303377826,11.569857597351074,5.5164490938186646
122,1.22,1.9254020967122358,11.535320963178362,5.622195839881896
123,1.23,1.9253011966420672,10.395605223519455,6.261711239814759
124,1.24,1.9252202203448003,9.87755230494908,6.188695073127747
125,1.25,1.9250443920778908,8.806906427655909,5.763191342353821
126,1.26,1.9245940795829184,8.081633704049247,5.201727032661437
127,1.27,1.9238798348201962,6.700158119201666,5.889080166816711
128,1.28,1.9231647760647035,6.596548216683524,5.380488991737366
129,1.29,1.9222897573571331,5.767662184579035,4.907147288322449
130,1.3,1.9211612733765808,5.076924392155242,5.335169434547424
131,1.31,1.920056646428314,5.49136570521763,5.229422688484191
132,1.32,1.9189812487316698,5.456829071044922,5.166478276252747
